Year,Unit,Value,Source
1960,SG$ Per Capita GDP,1310,Data.gov
1961,SG$ Per Capita GDP,1375,Data.gov
1962,SG$ Per Capita GDP,1445,Data.gov
1963,SG$ Per Capita GDP,1565,Data.gov
1964,SG$ Per Capita GDP,1486,Data.gov
1965,SG$ Per Capita GDP,1581,Data.gov
1966,SG$ Per Capita GDP,1735,Data.gov
1967,SG$ Per Capita GDP,1916,Data.gov
1968,SG$ Per Capita GDP,2169,Data.gov
1969,SG$ Per Capita GDP,2488,Data.gov
1970,SG$ Per Capita GDP,2834,Data.gov
1971,SG$ Per Capita GDP,3280,Data.gov
1972,SG$ Per Capita GDP,3857,Data.gov
1973,SG$ Per Capita GDP,4740,Data.gov
1974,SG$ Per Capita GDP,5755,Data.gov
1975,SG$ Per Capita GDP,6068,Data.gov
1976,SG$ Per Capita GDP,6542,Data.gov
1977,SG$ Per Capita GDP,7033,Data.gov
1978,SG$ Per Capita GDP,7791,Data.gov
1979,SG$ Per Capita GDP,8870,Data.gov
1980,SG$ Per Capita GDP,10717,Data.gov
1981,SG$ Per Capita GDP,11984,Data.gov
1982,SG$ Per Capita GDP,12840,Data.gov
1983,SG$ Per Capita GDP,14195,Data.gov
1984,SG$ Per Capita GDP,15274,Data.gov
1985,SG$ Per Capita GDP,14935,Data.gov
1986,SG$ Per Capita GDP,14960,Data.gov
1987,SG$ Per Capita GDP,16415,Data.gov
1988,SG$ Per Capita GDP,18774,Data.gov
1989,SG$ Per Capita GDP,20918,Data.gov
1990,SG$ Per Capita GDP,23134,Data.gov
1991,SG$ Per Capita GDP,25053,Data.gov
1992,SG$ Per Capita GDP,26285,Data.gov
1993,SG$ Per Capita GDP,29553,Data.gov
1994,SG$ Per Capita GDP,32921,Data.gov
1995,SG$ Per Capita GDP,35314,Data.gov
1996,SG$ Per Capita GDP,36989,Data.gov
1997,SG$ Per Capita GDP,39163,Data.gov
1998,SG$ Per Capita GDP,36534,Data.gov
1999,SG$ Per Capita GDP,36945,Data.gov
2000,SG$ Per Capita GDP,41121,Data.gov
2001,SG$ Per Capita GDP,38880,Data.gov
2002,SG$ Per Capita GDP,39679,Data.gov
2003,SG$ Per Capita GDP,41343,Data.gov
2004,SG$ Per Capita GDP,46664,Data.gov
2005,SG$ Per Capita GDP,49867,Data.gov
2006,SG$ Per Capita GDP,53655,Data.gov
2007,SG$ Per Capita GDP,59429,Data.gov
2008,SG$ Per Capita GDP,56607,Data.gov
2009,SG$ Per Capita GDP,56619,Data.gov
2010,SG$ Per Capita GDP,64408,Data.gov
2011,SG$ Per Capita GDP,67783,Data.gov
2012,SG$ Per Capita GDP,69417,Data.gov
2013,SG$ Per Capita GDP,71283,Data.gov
2014,SG$ Per Capita GDP,72938,Data.gov
2015,SG$ Per Capita GDP,76503,Data.gov
2016,SG$ Per Capita GDP,78364,Data.gov
2017,SG$ Per Capita GDP,83265,Data.gov
2018,SG$ Per Capita GDP,87108,Data.gov
