Year,Motor gasoline,Units,Source
1990,447,ktoe,IEA Oil Information 2019
1991,476,ktoe,IEA Oil Information 2019
1992,513,ktoe,IEA Oil Information 2019
1993,535,ktoe,IEA Oil Information 2019
1994,556,ktoe,IEA Oil Information 2019
1995,656,ktoe,IEA Oil Information 2019
1996,666,ktoe,IEA Oil Information 2019
1997,631,ktoe,IEA Oil Information 2019
1998,639,ktoe,IEA Oil Information 2019
1999,646,ktoe,IEA Oil Information 2019
2000,666,ktoe,IEA Oil Information 2019
2001,675,ktoe,IEA Oil Information 2019
2002,668,ktoe,IEA Oil Information 2019
2003,667,ktoe,IEA Oil Information 2019
2004,678,ktoe,IEA Oil Information 2019
2005,703,ktoe,IEA Oil Information 2019
2006,745,ktoe,IEA Oil Information 2019
2007,796,ktoe,IEA Oil Information 2019
2008,836,ktoe,IEA Oil Information 2019
2009,819,ktoe,IEA Oil Information 2019
2010,761,ktoe,IEA Oil Information 2019
2011,749,ktoe,IEA Oil Information 2019
2012,747,ktoe,IEA Oil Information 2019
2013,742,ktoe,IEA Oil Information 2019
2014,733,ktoe,IEA Oil Information 2019
2015,752,ktoe,IEA Oil Information 2019
2016,742,ktoe,IEA Oil Information 2019
2017,734,ktoe,IEA Oil Information 2019
