"Year","Private_car","Hire_car","Motorcycle","Source","Moto_fuel_use","Car_fuel_use","Car_on_road_fc"
1990,271174,3343,122525,"Singstat.gov",40822548.6825,557671112.006693,9.74140622595919
1991,283746,3665,122410,"Singstat.gov",40784233.293,596537875.181398,9.94720715157253
1992,285500,3879,116532,"Singstat.gov",38825817.1236,648036035.076749,10.7255315631263
1993,303864,4141,119939,"Singstat.gov",39960952.1847,676356963.852701,10.516899634906
1994,321556,4341,126156,"Singstat.gov",42032315.4588,702402752.423059,10.323541233821
1995,342245,5144,129587,"Singstat.gov",43175446.7751,835150820.366087,11.4983274604389
1996,362142,5451,132344,"Singstat.gov",44094016.5912,847621370.475919,11.0283712133048
1997,373345,6152,132629,"Singstat.gov",44188972.1217,800664495.204655,10.076922034334
1998,370804,6536,133375,"Singstat.gov",44437522.3875,811127240.879601,10.2557532579224
1999,378024,7112,134346,"Singstat.gov",44761037.5458,820176109.669454,10.1488285192613
2000,386780,8438,131937,"Singstat.gov",43958413.4301,847756973.637019,10.1936447936315
2001,398787,8857,131869,"Singstat.gov",43935757.3737,859829837.626759,10.0199603003576
2002,398166,8423,132318,"Singstat.gov",44085353.9814,850307857.070906,9.94454861312976
2003,399923,7803,135649,"Singstat.gov",45195167.5677,847859131.492013,9.9035728493701
2004,412015,7455,137029,"Singstat.gov",45654952.2417,862127378.736539,9.80142875971077
2005,432827,7756,139434,"Singstat.gov",46456243.6482,894798887.14487,9.68698113472238
2006,465482,9235,142736,"Singstat.gov",47518241.76,949971192.721988,9.30305720580244
2007,505987,11054,144340,"Singstat.gov",48402975.6,1017370970.50424,9.26198238756799
2008,540455,12391,146120,"Singstat.gov",47224522.8,1072105903.00798,9.62810634159286
2009,566608,12763,147215,"Singstat.gov",47220683.4,1049348238.53389,9.04156414517703
2010,584399,13347,148160,"Singstat.gov",48603888,970308138.36348,8.31321471735851
2011,592361,13919,146559,"Singstat.gov",47722541.58,955122540.872361,8.10539962404563
2012,605149,14862,144110,"Singstat.gov",46574910.9,953592347.567174,8.25286064020085
2013,607292,16396,144934,"Singstat.gov",45432460.98,948040237.524208,8.32089030523494
2014,600176,18847,145026,"Singstat.gov",45108887.04,936313603.530869,8.3878587310076
2015,575353,29369,143900,"Singstat.gov",44758656,962103162.430141,8.77049186353944
2016,552427,51336,143052,"Singstat.gov",45885359.52,947587338.984208,8.66155448648245
2017,546706,68083,141916,"Singstat.gov",45520976.16,937240426.403462,8.21855065396798
